source_name	source_category	source_url_or_endpoint	access_method	source_version_or_release	accessed_or_downloaded_date	license_or_terms	redistribution_status	hbp_layer	input_files_or_api	normalized_output	final_artifact	provenance_fields_preserved	notes
HGNC	gene nomenclature	https://www.genenames.org/	download/API	TBD	TBD	HGNC data reuse terms	redistributable with attribution/terms	Gene profiles	config/sources/hgnc.json	gene symbol/cross-reference profile	gene-profile artifacts	source_name; source_version; source_url_or_endpoint; accessed_at; input_record_id	Confirm release snapshot before archive.
NCBI Gene	gene annotation	https://www.ncbi.nlm.nih.gov/gene	download/API	TBD	TBD	NCBI public domain and usage guidelines	public-domain/public-source terms	Gene profiles	config/sources/ncbi_gene.json	gene summaries and cross-references	gene-profile artifacts	source_name; source_url_or_endpoint; accessed_at; input_record_id	Confirm exact FTP/API endpoint in final build metadata.
UniProtKB	protein annotation	https://www.uniprot.org/	REST/download	TBD	TBD	Creative Commons Attribution 4.0 International	redistributable with attribution	Protein context	config/sources/uniprotkb.json	protein names, accessions, features, cross-references	protein-context artifacts	source_name; source_version; source_url_or_endpoint; accessed_at; input_record_id	Preserve UniProt accession and reviewed status.
GOA / Gene Ontology	gene ontology annotation	https://geneontology.org/	download	TBD	TBD	Gene Ontology Consortium data license	redistributable with attribution	Gene profiles	config/sources/goa.json	GO annotations and evidence codes	gene-profile artifacts	source_name; source_version; input_record_id; evidence code	Include GO term and evidence provenance where used.
Ensembl	protein/transcript/variant annotation	https://rest.ensembl.org/	REST API	TBD	TBD	Ensembl Terms of Use	redistributable subject to Ensembl terms	Protein context; Variant annotation	config/sources/ensembl_protein_context.json; config/sources/ensembl_variation.json	transcript, translation, exon, coordinate, consequence context	protein-context artifacts; variant annotations	source_name; source_url_or_endpoint; accessed_at; genome_build; input_record_id	Genome assembly should be recorded as GRCh38 when applicable.
EBI Proteins	protein feature annotation	https://www.ebi.ac.uk/proteins/api/doc/	REST API	TBD	TBD	UniProt/EMBL-EBI terms of use	redistributable subject to source terms	Protein context	config/sources/ebi_proteins.json	protein sequences and feature annotations	protein-context artifacts	source_name; source_url_or_endpoint; accessed_at; input_record_id	Preserve feature source and protein accession.
InterPro	protein domains/families	https://www.ebi.ac.uk/interpro/	REST/download	TBD	TBD	EMBL-EBI terms of use	redistributable subject to source terms	Protein context	config/sources/interpro.json	domain/family/motif/region annotations	protein-context artifacts	source_name; source_url_or_endpoint; accessed_at; input_record_id	Preserve InterPro accession and member database when available.
Reactome	pathway annotation	https://reactome.org/	download/API	TBD	TBD	Reactome open license	redistributable with attribution	Gene profiles	config/sources/reactome.json	pathway memberships	gene-profile artifacts	source_name; source_version; input_record_id	Present in source configs; verify whether included in current HBP 3.0 production build.
Human Protein Atlas	expression/protein context	https://www.proteinatlas.org/	download	TBD	TBD	Human Protein Atlas terms of use	redistribution requires source-term review	Gene profiles; Expression	config/sources/human_protein_atlas.json	tissue/cell expression summaries	expression payloads; gene-profile artifacts	source_name; source_version; accessed_at; input_file	Present in configs; verify current build use and license constraints.
ClinGen	clinical curation	https://clinicalgenome.org/	download/API	TBD	TBD	ClinGen terms and attribution policy	redistribution requires source-term review	Variant annotation; Gene profiles	config/sources/clingen.json	gene/variant validity and actionability context	gene-profile or annotation artifacts	source_name; source_version; accessed_at; input_record_id	Verify current production inclusion.
NCBI dbSNP	variant identifier/annotation	https://www.ncbi.nlm.nih.gov/snp/	download/API	TBD	TBD	NCBI Disclaimer and Copyright Notice	public-source terms	Variant annotation; Association context	config/sources/dbsnp.json	rsID and short variant annotations	association artifacts; variant-index artifacts	source_name; source_version; rsid; input_record_id	Legacy association layers preserve rsID/variant IDs as deduplication keys.
NCBI ALFA	population frequency	https://www.ncbi.nlm.nih.gov/snp/docs/gsr/alfa/	download/API	TBD	TBD	NCBI Disclaimer and Copyright Notice	public-source terms	Population-frequency context	config/sources/alfa.json	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Production total must be verified from QA before release.
gnomAD v4	population frequency	https://gnomad.broadinstitute.org/	download/API	v4 if used	TBD	gnomAD terms of use	redistribution subject to gnomAD terms	Population-frequency context	config/sources/gnomad.json	allele-frequency observations	population-frequency datamart	source_name; source_version; rsid; allele; population_label; sample_size	Confirm exact v4 release and redistribution terms.
