artifact_name	hbp_layer	artifact_path_or_pattern	artifact_type	key_fields	record_count	gene_count	variant_count	source_count	build_version	schema_version	compressed	redistributable	license_notes	description
population_frequency_datamart	Population-frequency context	datamart/dbsnp_frequency*.duckdb	duckdb	rsid; study; population; population_group; ref_allele; alt_allele	594285057	not applicable	18097122	37 study labels; 2 source systems; 4 source archives	v3.0.0-nar	TBD	no	requires review	requires source-license review	Verified from dbsnp_frequency_build_metadata and dbsnp_frequency_sources in the 2026-05-09 production handoff; counts must be refreshed for future builds.
association_artifacts	Association and phenotype evidence	analyzed_data_unified/association/final/**; association/final/**	json/json.gz/duckdb	gene; variant_id; phenotype_path; p_value; ancestry; consequence; clinical_significance	TBD; verify from production QA	TBD	TBD	TBD	v3.0.0-nar	TBD	mixed	requires review	requires source-license review	Gene-level association artifacts, variant-index payloads, phenotype rollups, and serving summaries.
structural_variant_gene_payloads	Structural-variant evidence	analyzed_data/dbvar/dbvar_structural_variants_nstd229.json.zip	json zip	gene; sv_id; sv_type; coordinates; clinical_significance	3072942	75192	3040582	1	v3.0.0-nar	structural_variant_legacy	yes	requires review	requires TOPMed/dbVar source-term review	Local dbVar nstd229 report verifies records, variants, and genes.
exon_enriched_sv_artifacts	Structural-variant evidence	analyzed_data/dbvar/dbvar_structural_variants_nstd229.exons.json.zip	json zip	gene; sv_id; transcript_overlap; exon_overlap	TBD; verify from production QA	TBD	TBD	1	v3.0.0-nar	TBD	yes	requires review	requires TOPMed/dbVar source-term review	Exon-enriched structural-variant payloads derived from dbVar nstd229 and annotation overlap.
protein_context_artifacts	Protein context	secondary_analyses/final/protein_context/*.json.gz	json.gz	gene; transcript_id; translation_id; protein_accession; feature_id	TBD; verify from production QA	5304 local untracked payload files observed; production expected value requires QA	TBD	Ensembl/UniProt/EBI/InterPro sources	v3.0.0-nar	TBD	yes	requires review	requires source attribution and terms review	Production target mentions about 66.9k isoforms and more than 3.2M feature annotations; not locally verified.
gene_profile_artifacts	Gene profiles	secondary_analyses/final/gene_profile/*.json.gz; generated gene-profile paths	json/json.gz	gene; source_id; xref	TBD; verify from production QA	TBD	TBD	HGNC/NCBI/UniProt/GOA/Reactome/etc.	v3.0.0-nar	TBD	mixed	requires review	requires source-license review	Gene summary, nomenclature, ontology, pathway, and cross-reference payloads.
expression_payloads	Expression layer	secondary_analyses/final/expression/*.json.gz; configured expression outputs	json/json.gz	gene; tissue; cell_type; expression_value	TBD; verify from production QA	TBD	TBD	TBD	v3.0.0-nar	TBD	mixed	requires review	requires source-license review	Expression payloads imported or transformed for HBP gene dossiers.
shared_architecture_summaries	Shared-architecture layer	secondary_analyses/final/sga/*.json.gz; configured SGA outputs	json/json.gz	gene; cvd_phenotype; trait_phenotype; shared_variant_count	TBD; verify from production QA	TBD	TBD	inherits association source count	v3.0.0-nar	TBD	mixed	requires review	inherits association source restrictions	Derived overlap summaries between CVD and trait association variants.
drug_discovery_payloads	Drug-discovery / Drugs & Compounds layer	drug-discovery output paths; per-gene drug payloads	json/json.gz	gene; molecule_id; molecule_name; target_id; source	TBD; reported 17128 records requires production QA	TBD; reported 1839 gene files requires production QA	TBD	Open Targets; DrugBank	v3.0.0-nar	TBD	mixed	requires review	DrugBank raw data license-restricted; Open Targets terms require confirmation	Reported 17,128 records, 1,839 gene files, and 1,454 unique molecules were not locally verified.
guideline_derived_payloads	Clinical guidelines / guideline graph links	HCG/HCG-KG derived import paths; hcgkg_llm artifacts	json/graph/vector	gene; guideline_id; recommendation_id; evidence_class; evidence_level; snippet_id	TBD; verify from HCG/HCG-KG release QA	TBD	TBD	AHA/ACC guideline sources; future ESC	v3.0.0-nar	TBD	mixed	requires review	guideline source licenses require review	Gene-first guideline context consumed by HBP search_summary and guideline_detail when present.
